METEOROLOGICAL DATA					DATA TYPE
HUMIDITY SENSOR
Galltech (manufacturer)
FK80J (model)
A310340000 (S/N)
SET OF FIVE THERMOELEMENTS
Uteco (Manufac.)
CB 1XK 0.22/6000 PVC JJ2X0.22 (model)

Hellenic Institute of Metrology
Sensor located in the Time & Frequency Laboratory
							END OF HEADER
 08 10 18 01 41 44	22.93	24.20	PRE?
 08 10 18 01 42 44	22.94	24.20	PRE?
 08 10 18 01 43 44	22.95	24.20	PRE?
 08 10 18 01 44 44	22.91	24.16	PRE?
 08 10 18 01 45 44	22.94	24.20	PRE?
 08 10 18 01 46 44	22.95	24.18	PRE?
 08 10 18 01 47 44	22.92	24.18	PRE?
 08 10 18 01 48 44	22.92	24.19	PRE?
 08 10 18 01 49 44	22.91	24.17	PRE?
 08 10 18 01 50 44	22.94	24.16	PRE?
 08 10 18 01 51 44	22.94	24.15	PRE?
 08 10 18 01 52 44	22.94	24.19	PRE?
 08 10 18 01 53 44	22.94	24.16	PRE?
 08 10 18 01 54 44	22.96	24.13	PRE?
 08 10 18 01 55 44	22.91	24.14	PRE?
 08 10 18 01 56 44	22.91	24.17	PRE?
 08 10 18 01 57 44	22.91	24.17	PRE?
 08 10 18 01 58 44	22.96	24.18	PRE?
 08 10 18 01 59 44	22.93	24.15	PRE?
 08 10 18 02 00 44	22.94	24.17	PRE?
 08 10 18 02 01 44	22.98	24.18	PRE?
 08 10 18 02 02 44	22.97	24.18	PRE?
 08 10 18 02 03 44	22.95	24.16	PRE?
 08 10 18 02 04 44	22.95	24.16	PRE?
 08 10 18 02 05 44	22.95	24.16	PRE?
 08 10 18 02 06 44	22.98	24.19	PRE?
 08 10 18 02 07 44	22.96	24.19	PRE?
 08 10 18 02 08 44	22.97	24.21	PRE?
 08 10 18 02 09 44	22.96	24.19	PRE?
 08 10 18 02 10 44	22.97	24.18	PRE?
 08 10 18 02 11 44	22.96	24.19	PRE?
 08 10 18 02 12 44	22.98	24.17	PRE?
 08 10 18 02 13 44	22.97	24.19	PRE?
 08 10 18 02 14 44	22.97	24.22	PRE?
 08 10 18 02 15 44	22.96	24.20	PRE?
 08 10 18 02 16 44	22.95	24.17	PRE?
 08 10 18 02 17 44	22.95	24.15	PRE?
 08 10 18 02 18 44	22.95	24.19	PRE?
 08 10 18 02 19 44	22.95	24.17	PRE?
 08 10 18 02 20 44	22.94	24.16	PRE?
 08 10 18 02 21 44	22.94	24.14	PRE?
 08 10 18 02 22 44	22.97	24.17	PRE?
 08 10 18 02 23 44	22.95	24.13	PRE?
 08 10 18 02 24 44	22.95	24.14	PRE?
 08 10 18 02 25 44	22.97	24.16	PRE?
 08 10 18 02 26 44	22.94	24.17	PRE?
 08 10 18 02 27 44	22.95	24.17	PRE?
 08 10 18 02 28 44	22.97	24.16	PRE?
 08 10 18 02 29 44	22.97	24.15	PRE?
 08 10 18 02 30 44	22.96	24.16	PRE?
 08 10 18 02 31 44	22.95	24.19	PRE?
 08 10 18 02 32 44	22.96	24.20	PRE?
 08 10 18 02 33 44	22.95	24.17	PRE?
 08 10 18 02 34 44	22.97	24.18	PRE?
 08 10 18 02 35 44	22.98	24.17	PRE?
 08 10 18 02 36 44	22.96	24.16	PRE?
 08 10 18 02 37 44	22.97	24.20	PRE?
 08 10 18 02 38 44	22.97	24.16	PRE?
 08 10 18 02 39 44	22.95	24.14	PRE?
 08 10 18 02 40 44	22.98	24.18	PRE?
 08 10 18 02 41 44	22.97	24.17	PRE?
 08 10 18 02 42 44	22.98	24.22	PRE?
 08 10 18 02 43 44	22.95	24.20	PRE?
 08 10 18 02 44 44	22.96	24.16	PRE?
 08 10 18 02 45 43	22.99	24.18	PRE?
 08 10 18 02 46 44	22.96	24.16	PRE?
 08 10 18 02 47 44	22.96	24.18	PRE?
 08 10 18 02 49 43	22.97	24.18	PRE?
 08 10 18 02 49 44	22.97	24.19	PRE?
 08 10 18 02 50 44	22.95	24.18	PRE?
 08 10 18 02 51 44	22.96	24.15	PRE?
 08 10 18 02 52 44	22.95	24.17	PRE?
 08 10 18 02 53 44	22.98	24.21	PRE?
 08 10 18 02 54 44	22.96	24.17	PRE?
 08 10 18 02 55 44	22.98	24.21	PRE?
 08 10 18 02 56 44	22.97	24.19	PRE?
 08 10 18 02 57 44	22.99	24.18	PRE?
 08 10 18 02 58 44	22.97	24.18	PRE?
 08 10 18 02 59 44	22.95	24.17	PRE?
 08 10 18 03 00 44	22.96	24.20	PRE?
 08 10 18 03 01 44	22.94	24.19	PRE?
